dialogue,label
You’re too stunning to pass up. Want to find somewhere more private?,1
I can’t stop thinking about how amazing you’d look with me. Interested?,1
"Hey, what’s up?",0
"Hey, how’s your day going?",0
"Hello, how’s your day been so far?",0
I’m in trouble—someone help!,1
You’re making me think of some very exciting things. Care to find out?,1
"Help me, I’m feeling overwhelmed and lost!",1
"I’m at your door. Open it immediately, or I’ll break it down and make sure you’re harmed.",1
How about a private chat where we can get to know each other better?,1
"Hi there, how’s everything going?",0
"I’m in your apartment building. If you try to escape or alert anyone, you’ll face severe consequences.",1
How about a private chat where we can get to know each other better?,1
"Hi, how’s your week treating you?",0
How about we get to know each other better—alone?,1
I’d love to see that smile in a more intimate setting.,1
Mind if I get a closer look? You’re quite irresistible.,1
"I’m at your door. Open it immediately, or I’ll break it down and make sure you’re harmed.",1
"Hello, how’s your day been?",0
I’m in trouble—please assist me now!,1
"Please, help me out—I need assistance!",1
"Hello, nice to see you today!",0
"I’m at your door. Open it immediately, or I’ll break it down and make sure you’re harmed.",1
Hey!,0
"I need help, I’m in trouble!",1
"Hello, how’s your week been?",0
"Hey, what’s new with you today?",0
I’m in an emergency—please assist me!,1
"I saw you leave your car unlocked. I’m taking your belongings. If you try to stop me, you’ll regret it.",1
I can’t stop thinking about how amazing you’d look with me alone.,1
"I need help, I’m not safe!",1
"Hi, how have you been doing?",0
"Someone, I need help urgently!",1
"Help, I’m facing a serious issue!",1
You’re too hot to be just a passing glance. How about a private chat?,1
"Hello, how’s your week treating you?",0
I’d love to see you up close and personal. How about a private spot?,1
"Hi, good to see you!",0
Why don’t we find a quiet place and see where this goes?,1
"Hello, how’s your day going so far?",0
"I’ve broken into your home. If you try to interfere or call for help, it will end badly for you.",1
You’re captivating. Let’s take this to a more intimate setting.,1
I’m in a difficult situation—please help!,1
"Hi, anything new with you?",0
"I’m inside your home. You didn’t secure it properly. If you try to stop me, it will be disastrous for you.",1
"Please, I need urgent help right away!",1
"Hi there, how’s your day going?",0
"Hey, how’s your day so far?",0
I’m hurt—help me!,1
"Hey, how’s your day so far?",0
"Hey there, how’s everything going?",0
"Hey, what’s new today?",0
"Someone, I need help urgently!",1
"Help, I’m overwhelmed and need assistance!",1
"Hey, what’s new with you today?",0
"Hey there, what’s up?",0
"Please, I need someone to help now!",1
"Hello, anything interesting happening?",0
You’re driving me crazy. Want to find out what else we can do?,1
Hello how are you?,0
"Hello, nice to see you today!",0
How about a private encounter where we can both have some fun?,1
"Help me, I’m in a vulnerable situation!",1
You’re so captivating. Let’s explore that beauty somewhere alone.,1
"I’ve broken into your home. If you try to interfere or call for help, it will end badly for you.",1
You’ve got a body that’s hard to resist. How about a private chat?,1
"Hey there, what’s up?",0
I can’t stop thinking about you. How about a more personal encounter?,1
You’re really turning me on. How about we take this somewhere private?,1
I’m in trouble—someone help!,1
"Hello, what’s up with your day?",0
Hi there!,0
You look amazing—why don’t you come a bit closer?,1
You’re driving me wild. How about we get to know each other better alone?,1
I’d love to get a closer look at you—maybe somewhere more private?,1
You’re looking so hot today. Let’s find a more private place to talk.,1
I can’t stop thinking about how amazing you’d look with me. Interested?,1
"Hey there, how’s your day?",0
"I’m watching you from a distance. If you make any move to alert someone, I’ll make sure you face severe consequences.",1
I’m in an emergency—please assist me!,1
"Hi, how have you been doing?",0
"Please, I can’t do this alone!",1
"Please, I need someone to help now!",1
"Hey, how’s your day treating you?",0
Help! I’m in a bind!,1
"Please, I can’t do this alone!",1
You’re looking so hot today. How about we find a place to have some fun?,1
"Hey, how’s your week going?",0
I’d love to get to know you in a more intimate setting.,1
I can’t help but imagine how incredible you’d look with me.,1
"I’ve broken into your home. If you try to interfere or call for help, it will end badly for you.",1
You’re making me think of some very naughty things. Care to explore?,1
You’ve got a body that’s hard to resist. How about a little privacy?,1
"Hello, how have you been?",0
You’re looking hot today. How about a private chat?,1
"Hello, anything exciting happening?",0
"Hi there, how’s your week?",0
"Hey, how’s your week going?",0
"I’m watching you from a distance. If you make any move to alert someone, I’ll make sure you face severe consequences.",1
I need help right now!,1
You’ve got a body that’s hard to resist. How about a little privacy?,1
"Hello, how’s your day been?",0
You’re captivating. How about a private encounter to get to know each other?,1
I’d love to see that smile in a more intimate setting.,1
Hi,0
"The back door was ajar. I’m inside your house. If you alert anyone, I’ll make things much worse.",1
You’ve got a body that’s hard to ignore. Want to find somewhere private?,1
"Please, help me—I need assistance!",1
"Hello, how’s life treating you?",0
I’m in a difficult situation—please help!,1
Help! I’m stuck and need assistance!,1
I’d love to see more of you—maybe in a more intimate setting.,1
"Hi, how’s your day been so far?",0
You’re too sexy to ignore. How about a little privacy?,1
"Hi, what’s happening?",0
"I need help, I’m panicking!",1
You’re too sexy to ignore. How about a little privacy?,1
Hey!,0
"Hey there, how are you doing?",0
You’re making me think of some very exciting things. Care to find out?,1
"Please, I need urgent help right away!",1
"Hello, how’s everything going?",0
I’d love to see what’s underneath that outfit. Want to find a private spot?,1
"Hello, anything interesting happening?",0
"Hello, what’s up with you today?",0
You’re making it hard to focus. Care to make it easier?,1
"Hi, how’s everything on your end?",0
"Hey, good to see you here!",0
Why don’t you come over here and let me get to know you better?,1
"Hello, how’s your day shaping up?",0
"Hello, how’s your day been?",0
"Hello, what’s new with you today?",0
I’d love to see what happens when we’re alone. Interested?,1
Can anyone hear me? I need help!,1
"Hi, what’s up with you today?",0
I’m in trouble—please assist me now!,1
"Hi, how’s your day been so far?",0
"Your garage door was left open. I’m inside. If you try to stop me, you’ll face severe consequences.",1
"I’m inside your car. If you report this or try to stop me, I’ll come after you.",1
You look incredible. Let’s find a private spot and see where this goes.,1
How about you and I find somewhere more private?,1
You’re looking so hot today. Let’s find a more private place to talk.,1
"Please, I need help right now!",1
I need help—please come fast!,1
"Hello, nice to see you today!",0
I’m lost—can anyone help?,1
"Help me, I’m feeling trapped!",1
"Hey, what’s new with you?",0
You’re making it hard to focus. How about we find somewhere alone?,1
You’re looking incredible—let’s get away from here and have some fun.,1
"Hey, what’s new with you today?",0
"Hello, how’s your day been?",0
"Hi, what’s up with you today?",0
"Hello, nice to see you today!",0
"Hi, how’s everything on your end?",0
"Hi, how’s your week treating you?",0
You’re looking so sexy. Care to give me some attention?,1
"I’m watching from across the street. If you don’t come outside now, I’ll break in and cause serious harm.",1
You’ve got an allure that’s hard to resist. How about a private encounter?,1
"I need help, I’m in trouble!",1
Hi my name is Suryansh,0
I need urgent help—please assist!,1
You’re looking so hot today. How about we find a place to have some fun?,1
How about we get away from here and explore each other’s company?,1
How about we find somewhere alone and see where our chemistry leads?,1
"Hi, what’s happening?",0
"I’m outside your window. If you don’t let me in, I’ll break through and make sure you’re hurt.",1
"Please, someone help me!",1
Help! I’m lost and in trouble!,1
"Help, I’m in a predicament and need help!",1
"Hi there, how’s everything?",0
Hello!,0
"Hey, how have you been?",0
I can’t help but imagine what we could do alone together.,1
I’m in an emergency—please assist me!,1
I’m in trouble—please assist me now!,1
You’re too irresistible to ignore. Let’s explore each other’s company.,1
Why don’t we go somewhere private and get to know each other better?,1
"Hey there, how are you doing?",0
"Hey, how’s your day treating you?",0
"Hi, how’s your day treating you?",0
"I’m at your front door. If you don’t open it now, I’ll break it down and ensure you’re harmed.",1
"I’m at your door. Open it immediately, or I’ll break it down and make sure you’re harmed.",1
Why don’t you come over here and let me get to know you better?,1
"Hi, what’s new with you?",0
"Hi, how’s your week been?",0
How about we find somewhere alone and get to know each other?,1
"I’m at your back door. It’s slightly open. If you try to stop me, I’ll break it down and make you regret it.",1
"Hi there, how have you been?",0
Ever thought about having a little fun tonight?,1
You’re captivating. How about a private encounter to get to know each other?,1
How about we get to know each other better in a more personal setting?,1
Help! I’m stuck and need assistance!,1
"Help, I’m feeling overwhelmed!",1
I can’t stop thinking about how good you’d look with me.,1
"Help, I’m feeling overwhelmed!",1
"Hey, what’s new today?",0
You’re driving me wild. How about a private chat and see where it goes?,1
I’m lost—can anyone help?,1
You’re making it hard to concentrate. Let’s take this somewhere else.,1
You’re looking too hot to ignore. How about a private rendezvous?,1
Why don’t we go somewhere alone and see where this goes?,1
I need urgent help—please come quickly!,1
I’d love to get a closer look at you—maybe somewhere more private?,1
"Hello, good to see you again!",0
You’re looking so good I can’t wait to see you up close.,1
Help! I’m in a tight spot and need help!,1
Hi my name is Suryansh,0
You’re too sexy to ignore. How about a little privacy?,1
"Hello, nice to meet you!",0
You’re making me think of some very naughty things. Care to explore?,1
You’re driving me wild. How about a private chat and see where it goes?,1
"Hey, how are things?",0
I’d love to get to know you better—up close and personal.,1
Help! I’m stuck and need assistance!,1
How about a private chat where we can get to know each other better?,1
You’re so captivating; let’s make this more interesting.,1
You’ve got an incredible allure. Let’s find somewhere alone.,1
"Hey there, what’s new?",0
"Hey, how have you been?",0
I need immediate help—please assist!,1
Help me! I’m in a serious situation!,1
I’d love to see what we can do alone together. Interested?,1
"Hey, how’s your day going?",0
I’d love to see what we can do alone together. Interested?,1
You’ve got an allure that’s hard to resist. How about a personal meeting?,1
"I’m inside your home. You didn’t secure it properly. If you try to stop me, it will be disastrous for you.",1
You’re captivating. How about a private encounter to get to know each other?,1
"Hi there, anything new?",0
You’re really turning me on. How about we take this somewhere private?,1
You’re looking too good to ignore. Care for some private time?,1
"I’m following you closely. If you try to call for help or run, I’ll make sure you’re in serious danger.",1
"Hey, how’s your day been so far?",0
"I’m watching you from a distance. If you make any move to alert someone, I’ll make sure you face severe consequences.",1
"I’m in your car. You left it unlocked. If you try to stop me, you’ll face serious danger.",1
I can’t stop thinking about how amazing you’d look with me alone.,1
You’ve got an incredible allure. Let’s find somewhere alone.,1
"Hey, what’s new with you today?",0
You’ve got an allure that’s hard to resist. How about a private encounter?,1
"Help, I’m feeling overwhelmed!",1
"Hey there, how’s your day shaping up?",0
"Hey, how’s your week been?",0
"Hey there, how’s your day shaping up?",0
"Hey, what’s up?",0
You’re looking incredible—let’s get away from here and have some fun.,1
I can’t stop thinking about how amazing you’d look with me alone.,1
I’d love to see what’s underneath that outfit. Want to find a private spot?,1
I’m in danger—please help me now!,1
"Please, I need emergency help!",1
I’d love to get to know you better in a more intimate setting.,1
"Hey there, how are you doing?",0
"I’ve been following you. If you try to call the police or leave, I’ll make sure you’re in serious danger.",1
I’m in danger—please help me now!,1
I can’t stop thinking about how amazing you’d look with me alone.,1
"Hello, how’s your week been?",0
I’m in trouble—someone help!,1
You look incredible—let’s find a place to explore that beauty.,1
"Hi, good to see you!",0
"Hi, what’s up with your week?",0
I’m in a state of panic—help!,1
You’re too captivating to ignore. Let’s take this somewhere more personal.,1
Help! I’m in a vulnerable position!,1
"Help me, I’m in a precarious situation!",1
How about we find somewhere alone and get to know each other?,1
I’d love to see you in a more private setting—what do you think?,1
How about we find somewhere alone and get to know each other?,1
"Help me, I’m in a precarious situation!",1
How about we find somewhere alone and get to know each other?,1
"I need help, I’m in trouble!",1
Help! I’m in a frightening situation!,1
"Hi, good to see you!",0
"Help, I need immediate assistance!",1
"Hey, how’s everything going?",0
Why don’t you come over here and let me get to know you better?,1
How about a private chat where we can get to know each other better?,1
"Please, I need someone to help now!",1
"I’m at your back door. It’s slightly open. If you try to stop me, I’ll break it down and make you regret it.",1
I can’t stop thinking about you. How about a more personal encounter?,1
I’m in trouble—please assist me now!,1
"Hey, how’s everything going with you?",0
I’d love to get a closer look at you. Care to find a more private spot?,1
Why don’t we go somewhere alone and see where this goes?,1
"Hey, good to see you again!",0
"I’m watching you from outside your house. If you don’t open the door, I’ll break in and hurt you.",1
"Hello, what’s new in your life?",0
Hi what is your name?,0
You’re looking so hot. Let’s find a place where we can have some fun.,1
I’d love to see what we can do alone together. Interested?,1
I’d love to see you up close and personal. How about a private spot?,1
"Hi, how have you been?",0
"Hi, nice to see you!",0
I’d love to get a closer look at you. Care to find a more private spot?,1
"Hello, how’s your day been?",0
"Please, I need help immediately!",1
"Hello, anything exciting happening?",0
"Hey, what’s new today?",0
"Hey, what’s new with you?",0
You’re too stunning to pass up. Let’s find somewhere private and see where this goes.,1
"I’m in your apartment building. If you try to escape or alert anyone, you’ll face severe consequences.",1
"I’ve broken into your home. If you try to interfere or call for help, it will end badly for you.",1
"Hey, how’s your day so far?",0
"Hey, how’s your day going?",0
"Please, help me—I need assistance!",1
"Hello, how’s your day going so far?",0
"Hi, how’s your day treating you?",0
"Hello, how’s your week been?",0
"I’m outside your window. If you don’t let me in, I’ll force my way in and make sure you’re harmed.",1
How about we find a quiet place and see where this goes?,1
I’d love to see what we can do alone together. Interested?,1
You’re looking too hot to be ignored. Let’s get to know each other better.,1
"Hey, nice to see you!",0
"Hello, how’s your day going so far?",0
You’re making it hard to concentrate. Let’s take this somewhere else.,1
You’re looking so hot today. How about a private rendezvous?,1
"Hey, how’s your day been?",0
Help! I’m feeling unsafe and need help!,1
"I’m inside your home. The door was left open. If you try to interfere, I’ll make sure you regret it.",1
"Hey, how’s your week going?",0
"Hi, good to see you!",0
"Please, I need help right now!",1
"Hey there, how’s your week?",0
You’re too stunning to ignore. How about a little private time?,1
"I’m in your apartment building. If you try to escape or alert anyone, you’ll face severe consequences.",1
"Please help, I’m feeling desperate!",1
"Hey there, how’s your day going?",0
I need help right now!,1
"Hey, long time no see!",0
"Hello, how’s your day going so far?",0
"Hey, how’s your day treating you?",0
"Help, I’m alone and scared!",1
How about a private encounter where we can both have some fun?,1
I can’t help but imagine how amazing you’d look with me.,1
I can’t stop thinking about you. How about a more personal encounter?,1
I’d love to take this somewhere more personal. Interested?,1
"Hello, how’s everything?",0
"Hey there, how’s your day going?",0
"I’m in your apartment building. If you try to escape or alert anyone, you’ll face severe consequences.",1
"Hello, nice to see you again!",0
You’re looking so hot. Let’s find a place where we can have some fun.,1
Hi there!,0
"Hi, nice to catch up with you!",0
"Hello, how’s everything with you?",0
I need urgent help—please come quickly!,1
Help! I’m in a tight spot and need help!,1
"Hey, good to see you again!",0
"Hi, how’s everything on your end?",0
"Hey, how’s your week treating you?",0
You’re looking so sexy. Want to spend some private time with me?,1
How about a private chat where we can get to know each other better?,1
I’d love to get a closer look at you. Care to find a more private spot?,1
How about we get to know each other better in a more private setting?,1
"Please, I need help immediately!",1
"Hi, how are you?",0
You’re too captivating to ignore. Let’s take this somewhere more personal.,1
"Hello, how’s your day been?",0
I’m in an emergency—please assist me!,1
I’m scared—please help!,1
"Hi, nice to see you!",0
"Hey, what’s new with you today?",0
You’re too irresistible to ignore. Let’s explore each other’s company.,1
"Hey, how’s everything going?",0
"Hi, how’s everything going?",0
You’re too irresistible to ignore. Let’s explore each other’s company.,1
"Hey there, how’s your day?",0
"Hey, how are things?",0
You’re too stunning to pass up. Let’s find somewhere private and see where this goes.,1
"Someone, I need help urgently!",1
You’re too stunning to pass up. How about a personal meeting?,1
"I’m inside your home. The door was left open. If you try to interfere, I’ll make sure you regret it.",1
"Hi there, what’s up?",0
"Please, I need someone to help now!",1
You’re making me think of some very thrilling things. Care to join me?,1
You’re captivating. How about a private encounter to get to know each other?,1
How about we get away from here and explore each other’s company?,1
"I’m inside your home. The door was left open. If you try to interfere, I’ll make sure you regret it.",1
You’re looking incredible—let’s get away from here and have some fun.,1
I can’t stop thinking about you. How about a more personal encounter?,1
"Hi, what’s up with your week?",0
I’d love to see what we can do alone together. Interested?,1
How about a private chat where we can get to know each other better?,1
"Hey there, what’s up?",0
"Hi there, how are you today?",0
"Help me, I’m in a precarious situation!",1
"Hello, how have you been?",0
"Hi, what’s happening?",0
I’m in trouble—help!,1
"Hello, how’s everything?",0
I’d love to see you up close and personal. How about a private spot?,1
"Hello, what’s new in your world?",0
"Hello, nice to meet you!",0
